locus_tag,gene_name
sll1359,sll1359
slr0093_5'UTR,dnaJ
ssl2542,hliA;  scpC
sll0254,sll0254
slr0535,slr0535
slr0964,slr0964
sll0148,sll0148
sll0767,rpl20
sll0519,ndhA
sll1673,sll1673
slr0109,slr0109
ncr0680,ncr0680
ssr2781,ssr2781
sll1021,sll1021
sll1553,pheT
sll1306,sll1306
slr1173,slr1173
sll1068,sll1068
sll1767,rps6
slr1771,slr1771
sll0377,mfd
sll1505,sll1505
slr1166,slr1166
slr0775,secF
sll0108,amt1
ssr0102,ycf40
slr1428,slr1428
ssl0410,ssl0410
slr1862,slr1862
slr2103,slr2103
sll1586_5'UTR,sll1586
sll0384,sll0384
sll0649,sll0649
ssl3446,ssl3446
slr0482,slr0482
slr5088,slr5088
slr0569,slr0569
slr1472,slr1472
slr1270,slr1270
slr0104,slr0104
slr1277,pilQ
sll0173,vgb
sll0447,sll0447
slr7025,slr7025
sll1867,psbA3
sll1802,rpl2
sll1800,rpl4
sll1107,sll1107
slr0145,slr0145
slr1881,natE
sll1872,lytR
sll1776,deoC
sll0266,sll0266
sll1181,hlyD
slr1547,slr1547
sll1305,sll1305
slr1929,pilA6
sll0220,glmS
slr0901,moaA
ssr2194,ssr2194
sll1486,sll1486
slr2013,slr2013
slr1134,slr1134
sll0101,sll0101
slr1958,slr1958
sll0362,alaS
sll1737,ycf60
slr1104,slr1104
sll1293,sll1293
ssl3379,clpS
slr2104,hik22
slr1103,slr1103
sll0602,sll0602
slr0473,cph1;  hik35
ssr2066,ssr2066
ssl2749,ssl2749
slr1753,slr1753
slr1291,ndhD2
sll1223,hoxU
sll1159,sll1159
sll1736_5'UTR,sll1736
slr0146,slr0146
sll1536,moeB
slr0787,slr0787
sll1392,sll1392
slr0526,panB
sll0166,cobA/hemD
slr2072,ilvA
ncr1071,ncr1071
slr1067-as,slr1067-as
sll1102,gtrA
slr1343,slr1343
sll0709,llaI.2
sll1485,sll1485
sll0265,sll0265
sll1089,sll1089
slr0263,slr0263
slr0650,slr0650
sll1178,sll1178
sll1433,sll1433
slr1398,slr1398
slr0040,cmpA
slr2073,ycf50
slr1219,ureE
slr7012,slr7012
sll0862,sll0862
ncr1200,ncr1200
slr0739,crtE
sll1932,dnaK3
slr0817,menF
slr0676,cysC
slr1476-as2,slr1476-as2
sll0174,sll0174
sll1805,rpl16
slr0322,hik43
ncl1010,ncl1010
slr1638,slr1638
sll0072,sll0072
sll1538,bgl
sll1316,petC1
slr0913,slr0913
ncl0150,ncl0150
sll0911,sll0911
slr1859,slr1859
sll0804,sll0804
slr0692,ycf45
slr2099,hik40
slr0269,slr0269
sll0495,asnS
sll0383,cbiM
slr0301,ppsA
slr1279,ndhC
slr0724,sohA
sll1275,pykF
slr0557,valS
ncl1280,ncl1280
sll1181_3'UTR,hlyD
slr1573,slr1573
sll1680,sll1680
sll0360,sll0360
ncl0370,ncl0370
slr1544,slr1544
slr0157,slr0157
slr1828,petF;  fdx
ssl2065,ssl2065
slr1822,nth
slr0653,sigA; rpoDI
slr1945,pgam1
sll0626,lim17
slr1730,kdpC
sll1647,sll1647
ssl0601,rps21
slr7101,slr7101
slr1410,slr1410
ncr0150,ncr0150
slr0534,slt
slr0924,slr0924
sll1209,lig
slr1429,slr1429
slr1729,kdpB
ssr1258,ssr1258
sll1946,sll1946
ncl1720,ncl1720
ssl2233,rps20
sll1060,sll1060
sll1260_5'UTR,rps2
sll1180,hlyB
slr0782,slr0782
sll1951,sll1951
sll0422,sll0422
slr0829,slr0829
slr0445,slr0445
ssr2553,ssr2553
sll0058,dnaK1
sll1245,cytM
slr2047_5'UTR,phoH
slr1130,rhnB
slr0237,glgX1
slr0955,slr0955
sll1767_5'UTR,rps6
ssr2831,psaE
slr0380,slr0380
sll0542,acs
slr2052,slr2052
slr1409,slr1409
slr1840,slr1840
sll0026,ndhF4
ssl1911,gifA
slr0401,slr0401
slr1926,slr1926
sll1242,sll1242
slr0882-as,slr0882-as
slr0250_5'UTR,slr0250
slr1563,slr1563
sll0243,sll0243
slr1601,slr1601
sll0322,hypF
ssr3465,ssr3465
slr5126,slr5126
slr0331,ndhD1
slr1210,slr1210
sll0753,folD
slr0426_5'UTR,folE
slr0242,bcp
ssr2595,hliB;  scpD
ssl1633,hliC;  scpB
sll0634,btpA
slr0292,slr0292
ncl1190,ncl1190
sll1261,tsf
sll0147,sll0147
slr1619,slr1619
slr1875,exoD
ssl0090,ssl0090
slr1966,slr1966
ncr1620,ncr1620
sll1166,sll1166
ssr3409,ssr3409
slr1546,slr1546
sll0921,sll0921
slr1738,slr1738
sll0575,rfbB
slr2017,pilA11
slr0378,slr0378
slr2007,ndhD5
ssl3445,rpl31
sll1041,cysA
sll1054,sll1054
sll0681,pstC
sll1699,sll1699
sll0107-as,sll0107-as
sll0290,ppk
sll1885-as,sll1885-as
sll0781,sll0781
sll0616,secA
sll1817,rps11
sll1521,sll1521
sll1870,sll1870
sll1618,sll1618
slr0453,slr0453
ssr1558,ssr1558
sll0493,sll0493
sll1451,nrtB
slr1888,slr1888
slr1031,tyrS
ncr1020,ncr1020
slr1770,slr1770
slr0959_5'UTR,slr0959
slr0597,purH
slr1657,slr1657
sll0923,epsB
sll1812,rps5
sll1880,sll1880
sll1640,sll1640
sll1535_5'UTR,rfbP
sll1867_5'UTR,psbA3
slr1506,slr1506
ssl2814,ssl2814
sll1367,sll1367
sll1447,sll1447
slr1897,srrA
slr1734,opcA
slr0909,slr0909
slr1629,slr1629
slr1533,slr1533
slr1687,slr1687
slr0903,moaE
slr1703,serS
sll0565,sll0565
slr1045,ycf63
slr8029,slr8029
sll0467,queA
slr2011,slr2011
sll0529,sll0529
slr7068,slr7068
sll1426_5'UTR,sll1426
sll1775,sll1775
slr2009,ndhD6
ssl0453,nblA2
slr1795,msrA
ssr2799,rpl27
slr0572,slr0572
slr1618,slr1618
slr0021,sppA
sll1070-as,sll1070-as
slr1896,slr1896
slr1051,envM
slr1804,slr1804
sll1260,rps2
slr1677,slr1677
sll1358,sll1358
slr1394,slr1394
slr1678,rpl21
slr1940,slr1940
slr0878,slr0878
slr0902,moaC
slr2016,pilA10
ncr0690,ncr0690
ncr1580,ncr1580
sll1366,sll1366
slr0799-as,slr0799-as
slr2131,slr2131
sll0923-as3,sll0923-as3
sll0780,sll0780
slr2070,slr2070
sll0816,sll0816
sll1660,sll1660
slr0319-as,slr0319-as
sll0822,sll0822
sll0945_5'UTR,glgA1
sll1096,rps12
slr0589,slr0589
slr0083_3'UTR,crhR
sll2014,sfsA
slr1572,slr1572
sll0372,sll0372
sll1187,lgt
sll0735,sll0735
ncl1390,ncl1390
sll0424,sll0424
sll1528,sll1528
slr0116,pcyA
sll1621,sll1621
sll0924,sll0924
slr1423_5'UTR,murC
slr0896,slr0896
slr1230,slr1230
slr1128,slr1128
ssr1480,rbp2
sll0586,sll0586
sll0985,sll0985
ncl1340,ncl1340
slr0565,slr0565
slr0262,slr0262
sll1762,sll1762
sll1995,sll1995
slr1426,recR
slr1756,glnA
sll1009,frpC
sll1369,sll1369
ssr3129,ssr3129
ssr1260,ssr1260
sll0016,mltA
6803t13_3'UTR,6803t13_3'UTR
slr0984,rfbG
ncl0880,ncl0880
sll1104,gtrC
slr0818,slr0818
slr2076-as2,slr2076-as2
sll1503-as,sll1503-as
