locus_tag,gene_name
slr1327,slr1327
slr1938,slr1938
slr1246-as,slr1246-as
slr0780,slr0780
ncr0400,ncr0400
sll1170,sll1170
slr1237-as,slr1237-as
slr0208-as,slr0208-as
sll0450,norB
sll1820,truA
slr1723,lacG
sll6098,sll6098
slr0769,slr0769
slr1887-as,slr1887-as
sll0625,sll0625
sll1224,hoxY
slr0756_5'UTR,kaiA
sml0013,sml0013
sll1108,surE
slr0816,slr0816
ssr2998_5'UTR,ssr2998
slr1727,slr1727
sll1258-as,sll1258-as
slr0321,era
slr2027,slr2027
sll1642,sll1642
slr0788-as,slr0788-as
ncr1440,ncr1440
sll1698,sll1698
ssl1920,ssl1920
slr0808,slr0808
slr0041,cmpB
sll1665,sll1665
sll0574,rfbA
slr0164,clpP4
sll0067,gst
sll1390,sll1390
sll1325,atpD
sll1424-as,sll1424-as
ssr2998,ssr2998
ncr0390,ncr0390
ssr2078,ssr2078
slr1572-as,slr1572-as
sll1666,dnaJ
sll1543,sll1543
slr1493,slr1493
slr1311_5'UTR,psbA2
slr1020_3'UTR,sqdB
sll0877,sll0877
slr2053,slr2053
slr1350_5'UTR,desA
ssl0769_5'UTR,ssl0769
slr1452,sbpA
sll0848,dnaA
sll1883_5'UTR,argJ
slr0415-as3,slr0415-as3
ssl0172,ssl0172
slr1597,slr1597
slr0327-as,slr0327-as
slr0592,slr0592
ncl0690,ncl0690
slr0938_5'UTR,slr0938
slr5012,slr5012
slr0150,petF;  fdx
sll0418,sll0418
slr0542-as,slr0542-as
sll1683,cad
sll1917,hemN
slr0049,slr0049
smr0005,psaM
slr0536_5'UTR,hemE
sll0998_5'UTR,ycf30
ssl2921,ssl2921
slr0348,slr0348
slr2124,slr2124
slr1818,slr1818
sll0210,uppP
ssr2201,ssr2201
sll0807,rpe
slr0626,slr0626
slr1793,talB
sll1173,sll1173
slr0623,trxA
sll0202,gidA
ncl1255,ncl1255
slr1454,cysW
slr1726,slr1726
sll1985-as,sll1985-as
sll0354-as,sll0354-as
slr0712,slr0712
slr0600-as2,slr0600-as2
sll1380,sll1380
sll1854,xthA
sll1716,sll1716
sll1268,sll1268
sll1958_5'UTR,hisC
sll1558,sll1558
slr1591-as,slr1591-as
sll0508,sll0508
slr0522,slr0522
sll1556,sll1556
slr0493,rfbM
slr0061,slr0061
sll0541,desC; des9
ncr0050,ncr0050
slr0418,slr0418
slr1344,slr1344
slr0541,slr0541
slr1599_5'UTR,slr1599
sll0771,glcP;  gtr
slr1282,slr1282
slr1608-as,slr1608-as
ssr2317,ssr2317
slr1056,slr1056
sll1721,pdhB
slr0397,slr0397
sll1849,sll1849
slr7073,slr7073
slr0288_5'UTR,glnN
slr0521,slr0521
ssl3719,ssl3719
slr2006,slr2006
sll1103,gtrB
slr0935,slr0935
slr0086,slr0086
sll0993_5'UTR,sll0993
sll0260,sll0260
sll1895-as2,sll1895-as2
slr0023,slr0023
slr0950,slr0950
slr0435,accB
sll6093,sll6093
slr1962,slr1962
ncl1450,ncl1450
sll0238,sll0238
ssl1004,ssl1004
slr1773,slr1773
sll1561,putA
sll1334,sll1334
slr7013,slr7013
slr1998-as,slr1998-as
slr1215,slr1215
slr1651,hlyB
ssr1768,ssr1768
slr1939,slr1939
slr0342_5'UTR,petB
slr0776,lpxD
sll0617-as,sll0617-as
sll0293,sll0293
slr1198-as2,slr1198-as2
slr1540,slr1540
sll1822,rps9
slr1350,desA
slr1435,pmbA
sll1056,purL
slr0417_5'UTR,gyrA
slr1951,slr1951
slr0431,slr0431
slr1776,slr1776
ssl0461,ssl0461
sll1172,thrC
sll1586-as,sll1586-as
sll1899,ctaB
slr0537-as,slr0537-as
ssr2784,ssr2784
slr1974,slr1974
slr1467-as,slr1467-as
slr0800,slr0800
ssl1707,ssl1707
slr0537,slr0537
slr0224,slr0224
sll1891,sll1891
slr0985,rfbC
ssr1251,ssr1251
slr0930,slr0930
slr1957,slr1957
sll1897,sll1897
sll1924_5'UTR,sycrp2
sll1194_5'UTR,psbU
sll1161,sll1161
slr0918,map
sll0585,sll0585
sll1110,prfA
sll1023,sucC
slr0784,slr0784
sll0895,cysQ
slr7014,slr7014
slr0737,psaD
sll1655,birA
ncl0900,ncl0900
slr1397_5'UTR,slr1397
ssl1426-as,ssl1426-as
slr1999-as,slr1999-as
slr0302,slr0302
sll0498,sll0498
slr1556-as,slr1556-as
slr0038,slr0038
slr1078,galE
slr2033,rubA
slr1364,bioB
slr1302_5'UTR,cupB
sll0350,sll0350
sll1024,sll1024
slr2046-as4,slr2046-as4
slr1808,hemA
sll0471_5'UTR,sll0471
sll1614,pma1
sll0676,sll0676
ssl2507,ssl2507
slr1417,ycf57
CRISPR3,CRISPR3 array
slr0628,rps14
slr1970,slr1970
slr2077,slr2077
sll1525-as,sll1525-as
ssl1533,ssl1533
sll0071,sll0071
slr2120,slr2120
sll0415,sll0415
slr0082_5'UTR,slr0082
sll0684,pstB
ssl1792,ssl1792
slr2030,slr2030
ncr1350,ncr1350
slr1910,amiA
sll0144,pyrH
slr7100,slr7100
slr1839,ccmK4
slr0476_5'UTR,slr0476
ncl1620,ncl1620
slr1931,pilA8
sll0406,sll0406
ssr1499,ssr1499
sll1979,sll1979
slr1450,slr1450
sll1960,sll1960
ssr2755,ssr2755
slr0747,ggtA
slr1303-as,slr1303-as
sll0082,sll0082
ncr0340,ncr0340
sll0639_5'UTR,sll0639
slr1923,slr1923
slr1885,slr1885
slr1238,gshB
slr0728,slr0728
sll0006_5'UTR,aspC
slr1113,slr1113
sll1641,gad
slr1256_5'UTR,ureA
sll1031,ccmM
slr1138,ctaEI
slr1449,slr1449
slr1571,slr1571
ssr7079,ssr7079
slr2141-as,slr2141-as
sll1552,sll1552
slr1977,slr1977
slr1165,met3
sll1691-as,sll1691-as
ncl0410,ncl0410
slr1812,slr1812
slr1800-as2,slr1800-as2
slr1420,melB
slr1028-as2,slr1028-as2
ssr2078-as,ssr2078-as
slr1705-as,slr1705-as
ssr2142,ycf19
ssr2549,ssr2549
sll1070-as2,sll1070-as2
sll0912,sll0912
sll0864,sll0864
sll1910,zam
slr1273,slr1273
slr0847,kdtB
sll1018,pyrC
sll1930-as,sll1930-as
sll0844_5'UTR,sll0844
sll0145,frr;  rrf
sll0325_5'UTR,sll0325
sll0666,sll0666
ssl1552,ssl1552
slr0549,asd
slr0750,chlN
sll1151,sll1151
slr1471,slr1471
sll0624,sll0624
ncr0280,ncr0280
slr8023,slr8023
ssr2611_5'UTR,ssr2611
slr1266,slr1266
slr0232,slr0232
sll1837,sll1837
slr1384,slr1384
slr0743a_5'UTR,slr0743a
slr1277_5'UTR,pilQ
slr0977,slr0977
ssr1562,ssr1562
sll1011,sll1011
slr1185,petC2
sll1338-as,sll1338-as
slr1489_5'UTR,pchR
ncr0200,ncr0200
slr0930-as,slr0930-as
slr0184,slr0184
smr0008,psbJ
slr1672,glpK
sll0095,sll0095
sll0374,urtE
sll1768,sll1768
slr0442_5'UTR,slr0442
sll1247,sll1247
ncr0480,ncr0480
slr1461,slr1461
ssl2971,ssl2971
sll0057_3'UTR,grpE
sll1725-as,sll1725-as
slr0773,slr0773
slr1099,ubiX
slr0186,leuA
slr0498-as,slr0498-as
sll0682,pstA
sll0716,lepB
slr0280,slr0280
sll2010_5'UTR,murD
sll1353,hik15
slr0957,slr0957
sll0738,modA
ncl1590,ncl1590
slr1041,pilG
slr0377,slr0377
slr1788-as,slr1788-as
sll0033,crtH
sll6059,sll6059
ncl1350,ncl1350
sll1154_5'UTR,norA
slr0402,slr0402
sll0485,sll0485
slr1077-as2,slr1077-as2
slr1338,slr1338
sll1853,sll1853
sll0443,sll0443
sll1317,petA
sll0461,proA
sll0325,sll0325
slr1028-as9,slr1028-as9
sll1715,sll1715
slr0895,slr0895
slr1034,ycf41
sll1738,sll1738
sll0327,sll0327
sll0853,sll0853
slr0665,slr0665
sll1500,sll1500
sll1755-as,sll1755-as
slr1684,slr1684
sll1559_5'UTR,sll1559
slr0343,petD
ssl1277,ssl1277
ssl2982,ycf61
slr1971,slr1971
sll1316_5'UTR,petC1
ssl0788,ssl0788
sll0394,sll0394
sll0540-as,sll0540-as
sll0829,rapQ
slr0144,slr0144
sll0998,ycf30
sll0776,spkD
sll0270,priA
slr0819,int
slr0484,hik26
slr5115,slr5115
slr2031-as,slr2031-as
ssr3550,ssr3550
slr1689,fpg
sml0004,petN
sll1825,sll1825
sll0157,sll0157
ncl1160,ncl1160
slr0615-as,slr0615-as
slr0906-as,slr0906-as
sll1885-as2,sll1885-as2
ssl6035,ssl6035
ncl1725,ncl1725
slr1214-as2,slr1214-as2
slr1847_5'UTR,slr1847
sll0609,sll0609
slr0369,slr0369
slr1593-as,slr1593-as
slr1243,slr1243
sll0782_5'UTR,sll0782
sll1765,sll1765
slr2057,apqZ
sll0449,sll0449
sll1233,sll1233
slr1648,slr1648
sll0808,sll0808
slr1599,slr1599
slr0400,ppnK
slr0821,slr0821
slr0009_5'UTR,rbcL
ssr5106,ssr5106
sll1951_5'UTR,sll1951
ssl1911_5'UTR,gifA
slr0553,slr0553
sll2006,sll2006
slr0976,slr0976
slr2049,ycf58
sll1916,nadD
slr0853,rimI
sll1127,menB
slr0679,fmu/fmv
slr1899,ureF
slr0240,slr0240
slr1133,argH
sll0188_5'UTR,sll0188
slr1518,menA
sll1455,sll1455
sll1667-as,sll1667-as
slr1369_5'UTR,cdsA
sll1811,rpl18
sll1036,sll1036
slr0897,slr0897
sll0419,sll0419
sll1750,ureC
sll0254_5'UTR,sll0254
sll1321_5'UTR,atp1
slr0845,slr0845
slr2127,slr2127
slr1666-as,slr1666-as
slr2118,slr2118
sll1941,gyrA
slr0891,amiA
slr7049,slr7049
sll0497,sll0497
ssr1966,ssr1966
sll1150,sll1150
slr0678,slr0678
sll1786,tatD
slr1737,slr1737
sll0685,sll0685
slr1403,slr1403
sll0402,aspC
sll0759,sll0759
slr1557,slr1557
slr1192_5'UTR,slr1192
slr1791,cysH
slr1911,slr1911
sll0107_5'UTR,eda
sll1755-as2,sll1755-as2
sll1635-as,sll1635-as
slr1994,phaB
slr1762,slr1762
sll1127-as,sll1127-as
ncr0890,ncr0890
slr1076,slr1076
ncl0800,ncl0800
sll0100,ama
sll0421-as,sll0421-as
sll1185,hemF
sll0737,sll0737
sll1135,sll1135
slr0904_5'UTR,comM
ssl2084,acpP
slr0900,moeA
slr0697,slr0697
ssr1880-as,ssr1880-as
sll1070_5'UTR,tktA
slr2023,fabD
sll0798,nrsS; rppB; hik30
slr1911-as,slr1911-as
slr0618,cobQ
sll0454,pheS
slr1199,mutL
slr1204,htrA
ncr0610,ncr0610
sll1638,sll1638
sll1583,lig
sll1181_5'UTR,hlyD
slr1353-as,slr1353-as
slr1030_5'UTR,chlI
sll1730-as,sll1730-as
sll1411,sll1411
slr1164-as,slr1164-as
slr1254,pds;  crtD;  crtP
sll0756-as,sll0756-as
sll0529_5'UTR,sll0529
sll0867,sll0867
slr0921,slr0921
sll1131-as,sll1131-as
sll0722,sll0722
ncl0300,ncl0300
sll1725,sll1725
sll0136,pepP
sll1336,sll1336
slr0192,slr0192
slr0794,nrsA
slr0580,slr0580
slr1353,slr1353
sll1633,ftsZ
ncl1170,ncl1170
ssr1552,ssr1552
sll1546_5'UTR,ppx
sll1687-as,sll1687-as
ssl2733,ssl2733
slr1170,slr1170
slr1225,pknA
slr1109,ank
slr0070,fmt
sll0843,sll0843
sll0098,sll0098
6803t19_5'UTR,6803t19_5'UTR
sll0621-as2,sll0621-as2
slr0677_5'UTR,exbB
sll1851,sll1851
slr0649,metS
ssr5020,ssr5020
slr0774_5'UTR,secD
sll0319_5'UTR,sll0319
ncr1570,ncr1570
slr5093,slr5093
slr0727_5'UTR,slr0727
slr1228-as,slr1228-as
sll0147_5'UTR,sll0147
sll0923-as2,sll0923-as2
ssl3615,ssl3615
ncl0040,ncl0040
sll1234-as,sll1234-as
slr0143_5'UTR,hat
slr1278,ycf62
ssl2667,cnfU;  synifU
slr0756-as2,slr0756-as2
sll1349,cbbZp
sll1967,sll1967
slr7057,slr7057
slr0994,lipB
slr1557-as,slr1557-as
slr1277-as,slr1277-as
sll1501,cobB
slr2031-as2,slr2031-as2
slr0869,slr0869
slr1866-as2,slr1866-as2
sll0027-as,sll0027-as
slr0151-as,slr0151-as
sll1435,pet112
slr0551-as,slr0551-as
sll0057_5'UTR,grpE
sll1609-as,sll1609-as
slr1596_5'UTR,pxcA
slr1301,slr1301
ncr1060,ncr1060
slr0699,slr0699
slr0293,gcvP
slr0341,slr0341
sll1059,adk1
ssr3189_5'UTR,ssr3189
ssr0390,psaK1
sll1057_5'UTR,trxM2
slr1107-as,slr1107-as
sll0499,sll0499
sll1452,nrtC
sll1292_5'UTR,taxY2
sll1182-as,sll1182-as
slr1930,pilA7
slr0380-as,slr0380-as
slr1670,slr1670
slr0951,ispD
sll0373,proA
slr1233,frdA
sll1463,ftsH4
slr8022,slr8022
slr2034,ycf48
slr0827,alr
sll1686_5'UTR,sll1686
slr0386,slr0386
sll0410,sll0410
slr0825,slr0825
sll1395,rfbD
sll1394,msrA
sll1515-as2,sll1515-as2
slr1706_5'UTR,dfrA
ssl0020,petF
slr1082,slr1082
slr0476,slr0476
sll0554,ftrC
6803t09_5'UTR,6803t09_5'UTR
slr1223,sulA
slr1188,im30
slr1612,slr1612
sll1429,sll1429
slr1901,slr1901
sll1702,ycf51
slr2115,slr2115
sll0006,aspC
slr1143,slr1143
slr0739_5'UTR,crtE
sll1006-as2,sll1006-as2
slr0292_5'UTR,slr0292
sll1165_5'UTR,mutS
sll0400,sll0400
slr1042_5'UTR,pilH
ssl1922,ssl1922
slr1032_5'UTR,slr1032
sll0656-as2,sll0656-as2
ssr0482,rps16
slr0237-as,slr0237-as
slr0468,slr0468
sll1096_5'UTR,rps12
slr0244-as,slr0244-as
sll1956,sll1956
sll0913,sll0913
slr0447,urtA
ssl0312,ssl0312
slr1312,speA2
sll1708,sll1708
sll1384_5'UTR,sll1384
sll0191-as,sll0191-as
slr0303,slr0303
slr1838,ccmK3
sll1131_5'UTR,sll1131
sll0755,tpx;  ycf42
slr0273-as,slr0273-as
ssr2972,ssr2972
ncr1525,ncr1525
slr1176,glgC
sll0640-as3,sll0640-as3
slr0975_5'UTR,slr0975
sll1184,ho1
slr1968,slr1968
ncr1490,ncr1490
ssr2153,ssr2153
sll1130,sll1130
slr1474,slr1474
sll0169,sll0169
sll0224-as,sll0224-as
slr0521-as,slr0521-as
slr5102,slr5102
ssr5019,ssr5019
slr1168,slr1168
sll1713,hisC
slr0351,slr0351
ncl1200,ncl1200
sll0536_5'UTR,sll0536
sll1001,sll1001
slr0326,slr0326
sll1443,pyrG
sll0170-as,sll0170-as
sll0068,sll0068
sll0163-as,sll0163-as
slr0164_5'UTR,clpP4
ssr0756,ssr0756
ssl0258,ssl0258
sll1496,sll1496
sll0479,sll0479
ncl0730,ncl0730
ssr2016,ssr2016
sll1321-as,sll1321-as
ncl0650,ncl0650
ssr2615,ssr2615
ssr1425,ycf34
sll0026_5'UTR,ndhF4
slr8015,slr8015
ssl1633-as2,ssl1633-as2
slr2046-as6,slr2046-as6
slr0734,slr0734
ssr1480_5'UTR,rbp2
sll1694-as,sll1694-as
slr2100,slr2100
slr1674_5'UTR,slr1674
ncr0730,ncr0730
slr5021,slr5021
slr1106,phb
slr1510,plsX
slr0638,glyQ
slr0883,psr
slr0719,slr0719
slr1305_5'UTR,slr1305
slr2047,phoH
slr1918_5'UTR,slr1918
slr0199,slr0199
slr0827_5'UTR,alr
sll0997,sll0997
sll1837_5'UTR,sll1837
slr1531_3'UTR,ffh
sll0471,sll0471
sll0431,sll0431
slr1255,pys;  crtB
sll1077,speB2
sll0337,phoR;  hik7
sll1543-as,sll1543-as
slr1508_5'UTR,slr1508
sll1924,sycrp2
sll0920,ppc
slr0907-as,slr0907-as
slr2075-as,slr2075-as
sll1732-as,sll1732-as
sml0001_5'UTR,psbI
slr1312_5'UTR,speA2
sll0928-as4,sll0928-as4
slr2017-as,slr2017-as
ncr0770,ncr0770
slr1179,slr1179
sll1319,sll1319
sll0984,sll0984
slr0624-as,slr0624-as
NC-3547510,NC-3547510
slr7097,slr7097
sll1219,sll1219
sll0756,sll0756
slr0670,slr0670
sll1742,nusG
slr0725,slr0725
slr0322-as,slr0322-as
sll1272,sll1272
ncr0190,ncr0190
slr1288,slr1288
slr0779,slr0779
ssl1300,ssl1300
slr5073,slr5073
sll1739_5'UTR,sll1739
slr0181_5'UTR,recO
sll0533_5'UTR,tig
ncr1600,ncr1600
sll1920,pacS
sll0183_5'UTR,sll0183
ssr0511,ssr0511
sll1737_5'UTR-2,ycf60
sll0247,isiA
sll1002,ycf22
sll1681,sll1681
sll1669,aroK
sll0514,sll0514
slr0884,gap1
sll1766,aslB
ssr8047,ssr8047
slr0630-as,slr0630-as
slr0513-as,slr0513-as
sll0207-as2,sll0207-as2
ssr1398,rpl33
ncl0140,ncl0140
sll1557,sucD
ncl1500,ncl1500
slr1787,slr1787
slr0688,slr0688
sll1634,sll1634
slr1735,bgtA
slr0477_5'UTR,purN
sll0800,sll0800
slr0721-as,slr0721-as
sll0289,minD
sll1672,hik12
slr7083,slr7083
slr1508,slr1508
sll0006-as,sll0006-as
sll1396,sll1396
sll0843-as,sll0843-as
slr0354_5'UTR,slr0354
slr1220_5'UTR,slr1220
ssl0241,ssl0241
slr0063-as2,slr0063-as2
ssl1376,ssl1376
ssr2554_5'UTR,ssr2554
sll1162,sll1162
slr1028-as10,slr1028-as10
slr1722_5'UTR,guaB
slr0755,slr0755
slr1064,rfbU
slr2089-as2,slr2089-as2
sll1583_5'UTR,lig
sll0752-as,sll0752-as
sll0638,sll0638
slr1884,trpS
sll1383,suhB
ncr1230,ncr1230
slr1145,gltS
slr0521-as2,slr0521-as2
slr0108,slr0108
slr7080,slr7080
ncr0100,ncr0100
sll1512,sll1512
sll1957,arsA
slr0575,slr0575
slr0298,fraH
slr1866,slr1866
sll1155_5'UTR,sll1155
slr0316,slr0316
ssl1498,ssl1498
sll0789,sll0789
slr0408,slr0408
slr0254,slr0254
slr2036,slr2036
6803t05_5'UTR,6803t05_5'UTR
ssl2501,ssl2501
slr1880,slr1880
ssr2061,grxC
sll1240,sll1240
sll0861,sll0861
slr2095_5'UTR,slr2095
slr1393-as2,slr1393-as2
sll1572-as,sll1572-as
slr0877_5'UTR,slr0877
sll1466,sll1466
slr0270,slr0270
sll0041,pixJ1;  pisJ1;  taxD1
slr0359-as,slr0359-as
slr0080-as,slr0080-as
slr1073-as,slr1073-as
sll0513_5'UTR,sll0513
slr0885,slr0885
sll0053,accC
slr1933,rfbC
sll1341,bfr
slr0875,mscL
slr5118,slr5118
sll1578,cpcA
sll0920-as2,sll0920-as2
sll0547,sll0547
sll0102,sll0102
sll0544,sll0544
slr0161,pilT1
sll1968_5'UTR,pmgA
sll1532,sll1532
slr1050-as,slr1050-as
ssl3379_5'UTR,clpS
ssr2318-as,ssr2318-as
sll1800-as2,sll1800-as2
slr1969,hik24
sll1373,sll1373
slr8014,slr8014
sll1200,sll1200
slr0362,slr0362
sll0733_5'UTR,sll0733
slr0635,slr0635
slr1376_5'UTR,slr1376
slr0801,slr0801
slr0879,gcvH
slr2098-as2,slr2098-as2
sll0849,psbD1
ssl0259,ssl0259
slr1117,slr1117
sll0710,sll0710
sll1601,sll1601
slr1963_5'UTR,slr1963
slr1938-as,slr1938-as
slr0573,slr0573
slr2041_5'UTR,divK
slr0842,slr0842
ssl1046,ssl1046
slr0844-as,slr0844-as
slr1864-as,slr1864-as
slr1378,slr1378
sll1241,sll1241
slr0786_5'UTR,map
slr1090_5'UTR,slr1090
slr0935-as,slr0935-as
sll1080,sll1080
sml0003,psbM
sll0553,sll0553
ncr1030,ncr1030
sll0814,sll0814
slr0333,slr0333
slr0031-as,slr0031-as
slr0226,slr0226
slr2087-as,slr2087-as
ncl1080,ncl1080
sll1525,prk
sll0788,sll0788
sll1906,sll1906
slr1507-as,slr1507-as
sll1350-as,sll1350-as
slr0394-as,slr0394-as
slr1598,lipA
ssr8013,ssr8013
ssl0020_5'UTR,petF
sll1515-as,sll1515-as
slr0525,chlM
ncl0620,ncl0620
sll1484,ndbC
slr7054,slr7054
sll0545,sll0545
ssr1375_5'UTR,ssr1375
slr0338-as,slr0338-as
slr0195,slr0195
slr0733,xerC
sll1384,sll1384
slr1428_5'UTR,slr1428
sll1147,sll1147
sll1971,sll1971
slr1816-as,slr1816-as
slr2045-as,slr2045-as
sll0314,sll0314
sll0064,sll0064
sll0945,glgA1
slr0841,slr0841
ncr0710,ncr0710
slr0642,slr0642
slr1788_5'UTR,slr1788
sll1074,leuS
slr1748,pgam3
sll1653,menG
sll1639,ureD
slr0069,slr0069
sll1546,ppx
sll0860,sll0860
sll0503-as,sll0503-as
sll0359,sll0359
sll1189_5'UTR,glcE
ncl0460,ncl0460
sll0739,sll0739
slr1538,cbiD
slr0408-as2,slr0408-as2
slr1665,dapF
ssl0563_3'UTR,psaC
sll1354,recJ
slr1383-as,slr1383-as
slr0975,slr0975
slr1706,dfrA
ssr2857-as2,ssr2857-as2
slr1349_5'UTR,pgi
slr1969-as,slr1969-as
sll0019,sll0019
slr0476_3'UTR,slr0476
slr0658,slr0658
ncr1690,ncr1690
ncl0230,ncl0230
sll0623_5'UTR,sll0623
ssl0750,ssl0750
sll0484_5'UTR,sll0484
ssl2891,ssl2891
ssl2717,ssl2717
slr1596,pxcA
sll1716_5'UTR,sll1716
ssr0755,ssr0755
slr0229,mmsB
ssr2439,ssr2439
slr1336,slr1336
slr0707,polA
slr0612-as,slr0612-as
slr1136,ctaCI
sll1915_5'UTR,sll1915
slr1173-as,slr1173-as
slr0370,gabD
slr2102,ftsY
ssl1533_3'UTR,ssl1533
slr1271,rffM
sll1194,psbU
slr0531,ggtD
slr1699,slr1699
sll1934,sll1934
sll1174,sll1174
sll1257,sll1257
sll0856,sigH
ssr2130,ssr2130
slr0423-as,slr0423-as
slr1463,fusA
slr1516_5'UTR,sodB
slr0771,slr0771
sll0405-as,sll0405-as
slr1993-as,slr1993-as
slr0056,chlG
sll1336_5'UTR,sll1336
sll0177,sll0177
sll0192_5'UTR,sll0192
sll0743,sll0743
sll1098,fusB
sll0045,spsA
sll1659,sll1659
ssl2595,ssl2595
slr0851-as,slr0851-as
slr1400,hik38
ssl6061,ssl6061
slr0851,ndbA
slr1077,slr1077
sll0501-as,sll0501-as
ssl2920,ssl2920
slr1834,psaA
sll0766,radC
sll0403,sll0403
slr0456,slr0456
slr0329,xylR
sll1286_5'UTR,sll1286
slr5024,slr5024
sll0080,argC
slr5077,slr5077
sll1831,glcF
sll1371,sycrp1
slr1118_5'UTR,rffM
sll1724,icsA
slr1505,slr1505
sll0461-as2,sll0461
slr0917-as,slr0917-as
sll1430,apt
slr0886,fabG
sll2003-as,sll2003-as
slr0505,slr0505
sll0065,ilvN
slr2141,slr2141
sll0983,sll0983
sll1570-as,sll1570-as
slr0408-as,slr0408-as
ssr2406,ssr2406
slr0448,radA
slr1041-as,slr1041-as
sll1186,sll1186
slr0088,crtO
ssl3451,ssl3451
slr1441,slr1441
ncr0580,ncr0580
slr1324,hik23
sll1714,sll1714
sll1784,sll1784
slr1283,slr1283
slr1246,slr1246
slr0338_5'UTR,slr0338
sll1606,sll1606
slr1494,slr1494
slr0233,trxM1
slr0033-as2,slr0033-as2
sll1898,sll1898
sll0812,sll0812
slr5058,slr5058
sll0778,sll0778
ncl1690,ncl1690
sll1945_5'UTR,sll1945
sll1716-as,sll1716-as
sll1472,sll1472
sll1363_5'UTR,ilvC
slr1220,slr1220
ssl0438,ssl0438
slr1256,ureA
sll0668,sll0668
ncl0980,ncl0980
slr1638_5'UTR,slr1638
sll1206-as,sll1206-as
slr1920,slr1920
sll0683,pstB
sll0284,sll0284
ssr1256,ssr1256
slr1262,slr1262
6803t18,6803t18
sll0031,sll0031
sll0517_5'UTR,rbp1; rbpA
slr1425,slr1425
sll1155,sll1155
sll1277-as,sll1277-as
sll1987_5'UTR,cpx;  katG
sll1573,sll1573
slr1692_5'UTR,slr1692
slr0207,slr0207
slr1498,hypD
sll0897_5'UTR,dnaJ1
slr0796,nrsD
slr1302-as,slr1302-as
Norf3,Norf3
slr1924-as2,slr1924-as2
ssr2848-as,ssr2848-as
slr1194,slr1194
slr0607,slr0607
slr1908-as,slr1908-as
ssr2787,ssr2787
sll0524_5'UTR,sll0524
slr0743-as,slr0743-as
slr1564,sigF
slr0611-2,sds
slr1603_5'UTR,slr1603
ncl0100,ncl0100
sll0225-as,sll0225-as
slr0078,slr0078
ncr1080,ncr1080
sll0055,sll0055
sll0616-as,sll0616-as
slr0072,gidB
sll0274,sll0274
slr1774,slr1774
slr0226-as,slr0226-as
ssl0606,ssl0606
sll0280,sll0280
sll0162,sll0162
slr0440_5'UTR,slr0440
sll1760,thrB
slr0895-as,slr0895-as
slr0438_5'UTR,slr0438
slr0209,slr0209
ssr3452,ssr3452
sll0486,kaiB3
sll0088-as2,sll0088-as2
slr2042,slr2042
slr1990,slr1990
sll0723-as2,sll0723-as2
ncr1720,ncr1720
ssr2062,ssr2062
slr1317-as,slr1317-as
sll1802-as,sll1802-as
Norf2,Norf2
sll0784,merR
slr1176-as,slr1176-as
sll0928,apcD
sll0010,sll0010
ncl0845,ncl0845
sll0257-as,sll0257-as
sll0230_5'UTR,sll0230
slr2024_5'UTR,slr2024
ssl0318-as,ssl0318-as
slr0789,slr0789
slr0210_5'UTR,hik9
slr0338,slr0338
slr2006_5'UTR,slr2006
sll1250,sll1250
sll0606,sll0606
sll0640,Sac1
sll1205,pchR
slr0528_5'UTR,murE
sll0405,sll0405
sll0700,sll0700
sll1265-as,sll1265-as
ssr3383,apcC
sll1547,sll1547
ssl3580_5'UTR,hypC
ssr2153_5'UTR,ssr2153
sll1025,sll1025
slr0679-as,slr0679-as
sll0017,hemL
slr1969-as2,slr1969-as2
slr0869-as,slr0869-as
sll1747,aroC
slr0300-as,slr0300-as
sll0661,ycf35
slr1934,slr1934
ssr7035,ssr7035
slr1028-as11,slr1028-as11
sll0207-as,sll0207-as
slr1457,chrA
slr7098,slr7098
slr1226,purC
ssl2384_5'UTR,ssl2384
sll1428,sll1428
sll1120_5'UTR,sll1120
slr1958_5'UTR,slr1958
sll1457,rfbJ
sll0442,sll0442
slr5085,slr5085
sll0062,sll0062
sll1070-as3,sll1070-as3
sll1025-as,sll1025-as
slr1763,slr1763
slr1510-as,slr1510-as
slr0815,slr0815
sll1875,ho2
ncr1140,ncr1140
sll0832,sll0832
sml0009,sml0009
slr0807,gcp
ncl0860,ncl0860
ncr1170,ncr1170
sll1608-as,sll1608-as
slr1570_5'UTR,slr1570
sll1571,sll1571
ncl1480,ncl1480
slr0530,ggtC
sll0865-as,sll0865-as
ncr0430,ncr0430
sll1878-as,sll1878-as
sll0729,sll0729
slr1232,slr1232
slr1093,folK
slr2079,slr2079
slr1247,pstS
slr1829_5'UTR,phaE
sll1503-as2,sll1503-as2
sll0765_5'UTR,sll0765
sll0401-as2,sll0401-as2
slr1712,slr1712
ncr1610,ncr1610
sll0798-as2,sll0798-as2
sll0253,sll0253
ssl1577,ssl1577
slr0503,ycf66
sll1074_5'UTR,leuS
slr1431,slr1431
slr1211-as,slr1211-as
slr2092,slr2092
slr0786,map
sll0745,pfkA2
ssl2380,ssl2380
slr1567,slr1567
sll0858,sll0858
ssl0353,ssl0353
sll1632,sll1632
sll0783,sll0783
sll1191-as,sll1191-as
slr1592-as,slr1592-as
sll1503,sll1503
ssl2245_5'UTR,ssl2245
slr1740,slr1740
ssl2781,ssl2781
slr8026,slr8026
sll1912,sll1912
sll0428,sll0428
slr0742,slr0742
ncr0360,ncr0360
